Node,SimClock,CoordX,CoordY,waitTime,clusterHeight,avgCluster, avgNodesPerCluster, FreeBufferSpacePercent, reward, iteration
c85,4011.9999999974466,1114.9065755528452,1022.6478224763414,2100.0,1.05,2.0,1.0,41.84032,-0.030554880000000006,2
w140,4019.39999999744,1780.8709505300128,742.7369794748093,2100.0,1.05,2.0,1.0,15.47086,-0.45246624,2
c50,4022.499999997437,1779.0897895438316,742.7837740124894,1800.0,1.0,2.0,1.0,43.86764,0.001882240000000035,2
w145,4023.399999997436,2491.4942238650488,1101.62733579674,2100.0,1.0,2.0,1.0,13.725399999999999,-0.48039360000000003,2
c81,4023.9999999974357,2323.6473896428943,817.914481700398,2000.0,1.1,1.5,1.5,12.2402,-1.0,2
c53,4025.599999997434,2845.1006018347107,959.3469445379451,2100.0,1.05,1.5,1.5,13.725399999999999,0.01960639999999997,2
w116,4026.5999999974333,2323.9008452985076,821.6740970243978,1900.0,0.95,2.0,1.0,12.2402,-1.5,1
c97,4027.1999999974328,1188.0533320778518,1797.2563176245624,1900.0,1.0,1.5,1.5,29.751699999999996,0.2760272,2
w127,4031.199999997429,1037.9577192450922,563.6129363214045,1800.0,1.0,2.0,1.0,30.67746,-0.20916063999999995,2
p21,4031.9999999974284,1636.5630906316603,2309.6632506810524,1800.0,1.0,1.5,1.5,11.75372,-1.0,2
p31,4032.8999999974276,2327.7317822113546,1185.2592730779852,2000.0,1.0,2.0,1.0,15.81034,-0.44703455999999997,2
c68,4033.699999997427,1526.5793266693029,3100.647791446715,2000.0,0.95,1.0,2.0,12.81062,-0.49503008,2
w131,4036.1999999974246,2332.0832128867773,1190.6836898903603,2100.0,0.95,2.0,1.0,15.81034,-0.44703455999999997,1
c59,4039.899999997421,2609.6995483918454,621.3194702521714,1800.0,0.95,2.0,1.0,12.25522,-1.5,2
w130,4045.2999999974163,2272.030485789155,2364.6619934988203,2000.0,1.05,2.0,1.0,13.572500000000002,-0.48284,2
w135,4059.4999999974034,3686.8256002675585,981.8420070977697,1900.0,0.9,1.0,2.5,18.277540000000002,-0.4075593599999999,2
p48,4067.799999997396,982.4510239643294,1489.5323985368423,1900.0,0.95,2.0,1.0,10.46514,-1.5,2
w111,4103.799999997398,4198.429978936202,1058.3686253234075,2200.0,1.1,1.5,1.5,30.45258,0.28724128000000004,2
c61,4106.199999997407,1174.3100122381493,1832.663825138846,2000.0,0.95,2.0,1.0,20.46846,-0.37250464,2
c96,4108.2999999974145,1177.6802837104956,1823.9808494187037,1900.0,0.95,2.0,1.0,10.00332,-1.5,1
w113,4117.299999997447,1218.1502550400019,1709.6596768115232,2000.0,1.0,2.0,1.0,27.8721,-0.2540464,2
c65,4128.399999997488,1911.8043023628686,1181.8411411819186,2200.0,1.0,1.5,1.5,47.33142,0.55730272,2
t150,4128.99999999749,2260.2157130157743,2195.449902380267,1900.0,1.05,2.0,1.0,4.458486,-1.5,2
p8,4131.099999997497,1933.5186043190097,1166.4301862872885,1900.0,0.95,2.0,1.0,12.57672,-0.49877248,1
w133,4132.399999997502,2296.54703119975,2340.865273674557,1900.0,0.95,2.0,1.0,45.937020000000004,0.03499232000000019,2
c80,4139.799999997529,2803.2789670970524,1257.1747677226128,2100.0,0.9,2.0,1.0,41.057880000000004,-0.04307391999999993,2
t155,4141.599999997536,2384.369346182742,1278.2809096491578,2000.0,1.0,2.0,1.0,3.732826,-1.5,2
c98,4148.29999999756,2599.1753200980147,974.9647752572955,2100.0,1.05,2.0,1.0,66.6404,0.3662464000000001,2
p29,4149.099999997563,2283.3836970859793,1868.1257133689346,1900.0,1.1,2.0,1.0,11.44882,-1.5,2
w146,4151.499999997572,2298.5120894383513,1885.2015397551502,2000.0,1.05,2.0,1.0,11.44882,-1.5,1
p14,4162.699999997612,2202.2110018691824,1759.0769278492573,2000.0,1.0,2.0,1.0,19.545460000000002,-0.38727263999999995,2
c58,4164.599999997619,1716.2677048729079,2690.8806084034895,2200.0,0.9,2.0,1.25,24.216260000000002,0.18746016000000004,2
p24,4166.799999997627,2188.2854912848798,1739.5552865346076,2000.0,1.05,2.0,1.0,19.545460000000002,-0.38727263999999995,1
w137,4168.099999997632,2866.02119728275,1330.4547226580407,2200.0,1.0,2.0,1.25,22.77208,0.16435328,2
w112,4170.899999997642,1132.14012482424,1188.9744845055754,2100.0,1.0,1.5,1.5,14.41954,0.030712640000000013,2
c93,4192.799999997722,1243.9612137159068,1685.4201994957543,2000.0,1.05,2.0,1.0,25.766440000000003,-0.28773696,2
c89,4195.599999997732,1252.6029256989025,1697.3329485083864,2000.0,0.95,2.0,1.0,13.22064,-0.48846976,1
p10,4198.1999999977415,1447.7795691007607,1305.8722415662762,1800.0,1.05,2.0,1.0,40.276,-0.05558399999999991,2
w128,4200.0999999977485,2869.3171866510465,1097.8663469671299,1900.0,1.05,2.0,1.0,19.54448,-0.38728831999999996,1
w147,4200.299999997749,1758.6506025334081,2029.0900412660383,2100.0,0.9,1.0,2.5,25.115159999999996,-0.29815744000000005,2
w117,4204.199999997763,2869.1031543273552,1122.67312217,1900.0,1.0,2.0,1.0,19.54448,-0.38728831999999996,1
p0,4206.6999999977725,2853.006826949397,400.4789137710538,1900.0,1.05,2.0,1.0,55.08508,0.18136127999999996,2
c56,4220.9999999978245,1190.9238140383497,453.706819818776,2100.0,0.95,1.0,2.0,15.329680000000002,-0.45472512,2
c62,4224.199999997836,1179.2881634309888,426.06454081460834,1900.0,1.05,1.0,2.0,15.93056,-0.44511104,1
p46,4228.899999997853,1688.4490581421376,2720.4189783830243,2200.0,1.0,3.0,1.0,43.512499999999996,-0.00379999999999997,2
w134,4241.8999999979005,775.0144299467892,2227.4276664045788,1900.0,0.95,2.0,1.0,31.12684,-0.20197055999999997,1
